x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2002.11,2002-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2002,11,,0.84,5,-13.2,6,8.7,5,,0,6,0,,,0,,,,0,0,85.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2002.12,2002-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2002,12,,-9.42258064516129,31,-24,31,5.7,31,,2.7,31,1,,,0,,,,0,0,850.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.1,2003-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,1,,-14.509677419354839,31,-40,31,8.5,31,,27.6,31,9,,,0,,,,0,0,1007.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.2,2003-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,2,,-12.35,28,-36.9,28,3.9,28,,22.6,28,10,,,0,,,,0,0,849.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.3,2003-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,3,,-9.3,31,-41.4,31,10.1,31,,20.6,31,5,,,0,,,,0,0,846.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.4,2003-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,4,,3.34,30,-14.3,30,23.6,30,,23.7,30,8,,,0,0,,,0,0,439.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.5,2003-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,5,,8.838709677419354,31,-5.8,31,28.4,31,,27.7,31,6,,,0,,,,0,4.1,288.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.6,2003-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,6,,12.873333333333333,30,0.3,30,30.2,30,,125.9,30,10,,,0,0,,,0,4.4,158.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.7,2003-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,7,,16.296774193548387,31,3.1,31,29.2,31,,70.2,31,12,,,0,0,,,0,10,62.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.8,2003-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,8,,15.932258064516128,31,-0.7,31,30.3,31,,32.4,31,5,,,0,0,,,0,8.2,72.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.9,2003-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,9,,9.386666666666667,30,-8.2,30,28.3,30,,19.9,30,8,,,0,0,,,0,2.7,261.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.10,2003-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,10,,5.029032258064516,31,-18.5,31,27.4,31,,19.7,30,4,,,0,,,,0,0,402.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.11,2003-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,11,,-10.106666666666667,30,-29.5,30,8.4,30,,7.3,30,3,,,0,,,,0,0,843.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2003.12,2003-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2003,12,,-11.929032258064517,31,-25.5,31,5.7,31,,6.3,31,1,,,0,,,,0,0,927.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.1,2004-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,1,,-18.761111111111113,18,-47,18,3.8,18,,31.2,31,7,,,0,,,,0,0,661.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.2,2004-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,2,,-10.058620689655172,29,-37.2,29,7.6,29,,5,29,2,,,0,,,,0,0,813.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.3,2004-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,3,,-4.9,31,-26.1,31,10.2,31,,16.9,31,7,,,0,,,,0,0,709.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.4,2004-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,4,,3.9566666666666666,30,-11.8,30,23.8,30,,22.9,30,6,,,0,,,,0,0,421.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.5,2004-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,5,,7.112903225806452,31,-11.1,31,25.6,31,,40.6,31,4,,,0,0,,,0,0,337.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.6,2004-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,6,,12.676666666666666,30,-0.8,30,28.1,30,,30.1,30,7,,,0,0,,,0,0.6,160.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.7,2004-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,7,,15.987096774193548,31,2.1,31,29.9,31,,105.7,31,12,,,0,0,,,0,17.2,79.6
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.8,2004-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,8,,13.264516129032257,31,0.2,31,29.2,31,,27.9,31,6,,,0,0,,,0,2.5,149.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.9,2004-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,9,,7.723333333333334,30,-8.5,30,21.1,30,,56.5,30,8,,,0,0,,,0,0,308.3
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.10,2004-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,10,,0.7225806451612903,31,-14.9,31,22.6,31,,23.4,31,5,,,0,,,,0,0,535.6
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.11,2004-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,11,,-2.296666666666667,30,-12.5,30,8.2,30,,7,30,1,,,0,,,,0,0,608.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2004.12,2004-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2004,12,,-11.087096774193549,31,-36.9,31,8.5,31,,11.5,31,3,,,0,,,,0,0,901.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.1,2005-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,1,,-15.73225806451613,31,-41.5,31,9.3,31,,6,31,2,,,0,,,,0,0,1045.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.2,2005-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,2,,-7.728571428571429,28,-24.1,28,9.6,28,,3.2,28,1,,,0,,,,0,0,720.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.3,2005-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,3,,-2.5,31,-25.5,31,12.1,31,,18.4,31,4,,,0,0,,,0,0,635.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.4,2005-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,4,,5.5,30,-6.4,30,22.9,30,,9.1,30,3,,,0,0,,,0,0,375
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.5,2005-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,5,,9.319354838709678,31,-9.6,31,23.8,31,,67.8,31,6,,,0,0,,,0,0,269.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.6,2005-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,6,,13.36,30,2.1,30,26.2,30,,100.2,30,13,,,0,0,,,0,0,139.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.7,2005-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,7,,14.95483870967742,31,1.9,31,26.1,31,,55.9,31,9,,,0,0,,,0,1.1,95.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.8,2005-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,8,,12.670967741935485,31,0.1,31,28,31,,36.9,31,11,,,0,0,,,0,3.5,168.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.9,2005-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,9,,7.8533333333333335,30,-5.7,30,22.8,30,,19.5,30,5,,,0,0,,,0,0,304.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.10,2005-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,10,,3.596774193548387,31,-9.8,31,17.1,31,,17.1,31,4,,,0,0,,,0,0,446.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.11,2005-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,11,,-2.14,30,-16.9,30,19,30,,1.8,30,0,,,0,,,,0,0,604.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2005.12,2005-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2005,12,,-8.696774193548388,31,-29,31,9.5,31,,6.1,31,2,,,0,,,,0,0,827.6
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.1,2006-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,1,,-8.67741935483871,31,-20,31,5,31,,4.7,31,1,,,0,,,,0,0,827
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.2,2006-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,2,,-10.325,28,-30.2,28,8.9,28,,3,28,2,,,0,,,,0,0,793.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.3,2006-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,3,,-7.077419354838709,31,-27.6,31,8.7,31,,28.9,31,9,,,0,,,,0,0,777.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.4,2006-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,4,,6.03,30,-9,30,22.6,30,,1.1,30,0,,,0,,,,0,0,359.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.5,2006-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,5,,10.316129032258065,31,-4,31,29.5,31,,40.7,31,5,,,0,0,,,0,0.8,239
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.6,2006-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,6,,14.371428571428572,28,1.7,28,30.5,28,,57,30,7,,,0,0,,,0,7.3,108.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.7,2006-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,7,,17.43225806451613,31,5.1,31,33.6,31,,110.5,31,8,,,0,0,,,0,22.2,39.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.8,2006-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,8,,14.745161290322581,31,1.9,31,30,31,,58.8,31,10,,,0,0,,,0,6.1,107
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.9,2006-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,9,,10.57,30,-4.2,30,28.1,30,,44.5,30,8,,,0,0,,,0,0,222.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.10,2006-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,10,,0.82,30,-10.3,30,18.9,30,,23.2,30,6,,,0,,,,0,0,515.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.11,2006-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,11,,-12.306896551724138,29,-35.2,29,2.4,29,,33.4,29,9,,,0,,,,0,0,878.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2006.12,2006-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2006,12,,-10.363333333333333,30,-36,30,4.4,30,,7.3,30,2,,,0,,,,0,0,850.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.1,2007-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,1,,-10.96774193548387,31,-38.8,31,6.7,31,,5.6,31,2,,,0,,,,0,0,898
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.2,2007-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,2,,-16.522222222222222,27,-37.7,27,3.9,27,,9.2,27,2,,,0,,,,0,0,932.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.3,2007-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,3,,-5.096666666666667,30,-27.6,30,8.1,30,,12.1,31,4,,,0,,,,0,0,692.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.4,2007-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,4,,2.01,30,-13.7,30,15.9,30,,26.5,30,4,,,0,,,,0,0,479.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.5,2007-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,5,,9.683870967741935,31,-3.4,31,25.9,31,,40.7,30,10,,,0,,,,0,0,257.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.6,2007-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,6,,13.56,30,-0.3,30,27.8,30,,80.9,30,13,,,0,0,,,0,0,133.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.7,2007-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,7,,18.73548387096774,31,3.2,31,32.6,31,,28.9,31,7,,,0,0,,,0,57.9,35.1
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.8,2007-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,8,,12.955555555555556,27,-0.3,27,28.3,27,,13.4,27,5,,,0,0,,,0,0.6,136.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.9,2007-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,9,,8.120689655172415,29,-8.8,29,23.1,29,,23.1,29,6,,,0,0,,,0,0,286.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.10,2007-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,10,,4.325806451612904,31,-10.9,31,21,31,,1.9,31,1,,,0,,,,0,0,423.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.11,2007-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,11,,-6.406666666666666,30,-24.2,30,7.3,30,,7.7,29,2,,,0,,,,0,0,732.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2007.12,2007-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2007,12,,-15.983333333333333,30,-33.2,30,0.9,31,,17.3,20,5,,,0,,,,0,0,1019.5
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.1,2008-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,1,,-15.86774193548387,31,-47.3,31,0,31,,6.9,26,2,,,0,,,,0,0,1049.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.2,2008-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,2,,-12.910344827586206,29,-35.2,29,7,29,,5.6,22,2,,,0,,,,0,0,896.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.3,2008-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,3,,-5.774193548387097,31,-23.7,31,10.5,31,,8.9,26,3,,,0,,,,0,0,737
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.4,2008-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,4,,-0.4068965517241379,29,-19,29,20,30,,9.5,24,3,,,0,,,,0,0,533.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.5,2008-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,5,,10.006451612903225,31,-6.6,31,26,31,,32.2,28,3,,,0,,,,0,0,247.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.6,2008-06,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,6,,13.65,30,-0.9,30,29.3,30,,31.8,27,6,,,0,,,,0,4.9,135.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.7,2008-07,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,7,,15.503225806451614,31,2.9,31,28.7,31,,33.1,25,9,,,0,,,,0,6,83.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.8,2008-08,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,8,,15.025806451612903,31,-3.1,31,32,31,,35.2,25,7,,,0,,,,0,19.2,111.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.9,2008-09,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,9,,9.455172413793104,29,-3.4,30,24.7,29,,32.6,24,4,,,0,,,,0,0,247.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.10,2008-10,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,10,,3.9290322580645163,31,-11.1,31,24.8,31,,4.3,26,2,,,0,,,,0,0,436.2
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.11,2008-11,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,11,,-1.56,30,-17.3,30,11.6,30,,11.9,25,6,,,0,,,,0,0,586.8
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2008.12,2008-12,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2008,12,,-19.925,28,-39.4,28,7.1,31,,17.3,18,5,,,0,,,,0,0,1061.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2009.1,2009-01,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2009,1,,-15.529032258064516,31,-44.6,31,8,31,,16.7,27,7,,,0,,,,0,0,1039.4
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2009.2,2009-02,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2009,2,,-14.477777777777778,27,-40.7,27,7.2,28,,7.5,25,3,,,0,,,,0,0,876.9
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2009.3,2009-03,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2009,3,,-10.67741935483871,31,-40.8,31,7.9,31,,9.9,25,3,,,0,,,,0,0,889
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2009.4,2009-04,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2009,4,,2.010344827586207,29,-12,29,15.3,29,,6.4,25,1,,,0,,,,0,0,463.7
-112.96666666666667,54.28333333333333,54.283,-112.967,ABEE AGDM,3010010,32232.2009.5,2009-05,2014-07-31 11:54:11,AB,ALBERTA,ALBERTA,2009,5,,7.664516129032258,31,-6.4,31,23,31,,10.8,22,4,,,0,,,,0,0,320.4
